fips,stateabb,sedacounty,sedacountyname,subject,grade,year,cs_mn_all,cs_mnse_all,totgyb_all,cs_mn_asn,cs_mnse_asn,totgyb_asn,cs_mn_blk,cs_mnse_blk,totgyb_blk,cs_mn_ecd,cs_mnse_ecd,totgyb_ecd,cs_mn_fem,cs_mnse_fem,totgyb_fem,cs_mn_hsp,cs_mnse_hsp,totgyb_hsp,cs_mn_mal,cs_mnse_mal,totgyb_mal,cs_mn_mfg,cs_mnse_mfg,totgyb_mfg,cs_mn_mtr,cs_mnse_mtr,totgyb_mtr,cs_mn_nam,cs_mnse_nam,totgyb_nam,cs_mn_nec,cs_mnse_nec,totgyb_nec,cs_mn_neg,cs_mnse_neg,totgyb_neg,cs_mn_wag,cs_mnse_wag,totgyb_wag,cs_mn_wbg,cs_mnse_wbg,totgyb_wbg,cs_mn_whg,cs_mnse_whg,totgyb_whg,cs_mn_wht,cs_mnse_wht,totgyb_wht,cs_mn_wmg,cs_mnse_wmg,totgyb_wmg,cs_mn_wng,cs_mnse_wng,totgyb_wng
6,CA,6001,Alameda County,mth,3,2015,-0.079057958,0.063780886,17328,0.648165288,0.074191197,5012,-0.949752957,0.074059423,1875,-0.70634224,0.065372111,8168,-0.100529703,0.064452155,8547,-0.653048843,0.065284418,6063,-0.057037411,0.064804343,8781,0.044377762,0.091395848,17328,0.274885961,0.077575623,932,-0.580978631,.1455172435638176,75,.5129951239793409,0.07058752,9020,1.217559203434196,0.096205893,17188,-0.249925833,.1023318515680869,8310,1.346287872957363,.1022311417177563,5173,1.049994107037198,0.09607107,9361,.3968095099215416,0.070489846,3298,.1210757427495793,.1047923339936118,4230,.9707381576170371,.1608437444796993,3373
6,CA,6001,Alameda County,rla,3,2015,0.003200583,0.057599812,17236,.6096011424530979,0.066331376,4958,-0.765368724,0.068761436,1870,-0.634093577,0.060358729,8127,.1378696977473458,0.059297151,8509,-0.572795629,0.060280581,6036,-0.131168851,0.05822707,8727,-0.267865021,0.083103206,17236,.4172482111317228,0.072799874,935,-0.37527015,.1428198791710555,74,.5909866604538383,0.064603052,8968,1.223870025518837,0.088409695,17095,-0.059432913,0.093501913,8249,1.313314170860452,0.095236278,5161,1.121412484155766,0.089311732,9327,.5492362416852069,0.065908296,3291,.1327023995508764,0.098178522,4226,.9039811840879707,.1564432803694682,3365
6,CA,6001,Alameda County,mth,3,2016,-0.073215717,0.042439587,17311,.6068247040998227,0.050172527,5159,-0.937921772,0.052784662,1704,-0.723179976,0.044127675,7320,-0.107431936,0.043561911,8294,-0.666107448,0.044218396,6046,-0.040248107,0.043846452,9017,0.068534955,0.061805583,17311,.3420671820947609,0.05873671,1034,-0.697574835,0.178060044,45,.4260473111301718,0.046263107,9769,1.148852013748838,0.063931845,17089,-0.186448505,0.070076934,8365,1.358846977,0.071965518,4910,1.087242287843403,0.065945495,9252,.4204928894131747,0.048929966,3206,0.078219868,0.07642931,4240,1.099408457344509,.1828005960731408,3251
6,CA,6001,Alameda County,rla,3,2016,0.032014112,0.037503808,17151,.5904760824929239,0.043963567,5076,-0.740502416,0.049251595,1703,-0.615730482,0.039841959,7244,.1541024590733114,0.039366151,8224,-0.525749552,0.039819427,5988,-0.08027682,0.038690422,8927,-0.235927473,0.055194783,17151,.4768817355091834,0.055495115,1034,-0.408800527,.1757616732026116,45,.5438642704614297,0.041343114,9684,1.158971196878831,0.05741458,16928,0.019817353,0.063782143,8271,1.353237315019576,0.067531342,4898,1.136349563197312,0.060999857,9183,.6116244879439907,0.046216055,3195,.1314460062755506,0.072202628,4229,1.056784452911216,.1798949387225552,3240
6,CA,6001,Alameda County,mth,3,2017,-0.082017858,0.054026797,17027,0.650171668,0.063220909,5131,-0.937582813,0.064132462,1708,-0.734952364,0.05587277,7733,-0.115786986,0.054965177,8198,-0.67214764,0.055809613,5935,-0.049430343,0.055178357,8829,0.064704545,0.077881094,17027,.2449500578783681,0.066295049,1155,-0.498269687,.1805403726569618,43,.4804713130705855,0.059103717,9036,1.215857592417976,0.081330314,16769,-0.28773534,0.087412435,8111,1.300534049724722,0.088068764,4688,1.036353833,0.082212125,8915,.3651563057913234,0.060374748,2980,.1184596562909134,0.089649659,4135,.8393996455229558,.1884289140423257,3023
6,CA,6001,Alameda County,rla,3,2017,0.032241277,0.045696231,16835,.6282919315084182,0.051744918,5052,-0.701274491,0.056310958,1709,-0.615362486,0.048180632,7624,.1463946647771875,0.0472852,8109,-0.541070827,0.04834134,5861,-0.072755182,0.046646992,8726,-0.219404979,0.066419643,16835,0.400795232,0.060274673,1155,0.001276627,.1780285718821183,42,.5789531148309232,0.049323788,8954,1.193363011233876,0.068948677,16578,-0.104710086,0.073245063,8006,1.225272380737685,0.076534227,4663,1.063482674145029,0.070881725,8815,.5208417451424133,0.051846623,2954,.1218516670348827,0.079489577,4109,.5281485129503267,.1834426496952718,2996
6,CA,6001,Alameda County,mth,3,2018,-0.006434891,0.035147824,16788,.6833379808359678,0.043337611,5305,-0.918757386,0.048691271,1586,-0.683009018,0.036937635,7488,-0.048937581,0.036783012,8156,-0.640758982,0.037501189,5679,0.033073216,0.036870416,8632,0.082592488,0.052079322,16788,.3090297036201889,0.05108734,1249,-0.11965747,0.185615326,39,.5601642159006798,0.039582173,9182,1.244788122823205,0.054138344,16670,-0.23416643,0.060758083,8152,1.369768320944174,0.064680651,4433,1.089906184510898,0.056742986,8526,.4501815618381516,0.042590307,2847,.1408554393183196,0.066499659,4096,.6073335339874987,.1881805112281202,2886
6,CA,6001,Alameda County,rla,3,2018,0.067281499,0.029929726,16689,.6274048061899354,0.036718587,5251,-0.748332348,0.04499153,1588,-0.56799836,0.03218743,7441,.1874850884869541,0.032285157,8120,-0.496321334,0.032686774,5630,-0.044334195,0.031387539,8569,-0.231968729,0.045026516,16689,.4262750288216536,0.047200998,1255,.1070582561330899,0.18100576,39,.6053167208434774,0.033733179,9129,1.172450708408636,0.0466243,16570,-0.076690919,0.053401887,8095,1.298825137413143,0.059389989,4432,1.046956321004112,0.0507144,8474,0.550655718,0.038780667,2844,.1251696588558151,0.061077667,4099,.4592577264547723,.1829040779658444,2883
6,CA,6001,Alameda County,mth,4,2009,-0.196369301,0.044270685,15619,,,,,,,-0.686024112,0.045588171,6852,-0.203481574,0.045412342,7583,,,,-0.190148147,0.045736165,8035,0.013091919,0.064450068,15618,,,,,,,.2072469653435672,0.047157963,8516,.8939008613620197,0.065588644,15368,,,,,,,,,,,,,,,,,,
6,CA,6001,Alameda County,rla,4,2009,-0.138444658,0.0414535,15603,,,,,,,-0.67704744,0.042997821,6843,-0.037924174,0.043057748,7581,,,,-0.235227516,0.042480735,8021,-0.196979736,0.060484275,15602,,,,,,,.3057527294790046,0.045329279,8509,.9834978312414845,0.062476386,15352,,,,,,,,,,,,,,,,,,
